label,g__Turicibacter,g__Parabacteroides,g__[Ruminococcus],g__Sutterella,f__Peptostreptococcaceae_g__,g__Ruminococcus,g__Veillonella,g__Bacteroides,g__Eggerthella,g__Faecalibacterium,g__Coprococcus,f__Lachnospiraceae_g__,g__Neisseria,g__Haemophilus,g__Blautia,f__Enterobacteriaceae_g__,g__Klebsiella,g__Dorea,g__Dialister,g__Anaerostipes,g__Phascolarctobacterium,g__Staphylococcus,g__Actinomyces,f__Gemellaceae_g__,g__Akkermansia,g__Oscillospira,o__Lactobacillales_g__,g__Adlercreutzia,g__Odoribacter,f__Clostridiaceae_g__,g__Prevotella,g__Roseburia,g__Lachnospira,o__Clostridiales_g__,g__Granulicatella,f__Erysipelotrichaceae_g__,f__Ruminococcaceae_g__,g__Clostridium,g__Streptococcus,g__Aggregatibacter,g__Fusobacterium,g__Conchiformibius,g__Bifidobacterium,g__Collinsella,g__Holdemania,g__[Eubacterium],f__Rikenellaceae_g__,g__Bilophila
s10_no,1,7,137,70,1,2,6,8098,14,259,20,558,1,48,258,19,1,47,15,1,1,14,2,3,1,136,1,1,1,1,1,110,2,68,1,132,196,1,18,1,8,1,2,1,16,5,532,64
s11_no,1,102,499,82,84,48,33,2423,8,982,236,786,2,17,215,56,41,62,64,1,1,4,1,1,1,20,5,1,3,28,3,207,4,571,1,356,303,1,13,1,6,1,36,1,1,13,45,30
s12_no,1,339,522,3365,1,97,14,25640,2,8233,269,2373,1,280,333,5868,2,214,2,1,39,40,1,1,426,163,2,1,38,18,288,409,239,434,1,251,720,2,127,14,71,38,185,195,67,106,208,208
s13_no,1,33,71,39,274,1,9,6944,4,66,1,659,23,22,4,44,1,11,9,4,1,169,5,2,6,1,1,1,1,1,26,21,1,27,2,9,33,1,12,4,6,1,21,5,1,2,11,2
s14_CD,1,574,101,2468,8,333,6,3553,1,1671,129,636,1,1449,59,7628,3,58,2075,10,1,3,2,140,2,13,122,2,3,2,42,122,241,131,38,424,760,2,127,4,3,6,1174,59,1,1,60,49
s15_no,12,2621,4234,24,42,85,99,38283,21,579,1359,8005,2,78,2277,1973,35,394,639,25,2,24,1,3,6,441,8,1,9,4,12,6891,6,6540,1,3066,883,28,39,54,47,5,41,422,20,16,557,3235
s16_CD,2,6,2274,3824,136,60,54,32,29,9874,470,10350,5,271,3301,280,1,1106,4,127,1,5,4,13,1,1207,3,1,1,54,1,3523,481,884,3,5644,1341,1311,53,19,51,2,65,1,119,384,3,1
s17_CD,2,544,4518,5926,38,220,1,3530,150,820,1710,8861,1,3,10917,2430,1,2658,2,1,999,1,9,2,1,35,6,1,1,12,2,12,2,3768,6,11659,2518,1,234,5,1,1,371,3,28,1001,97,469
s18_no,1,762,325,71,1,91,3,3444,1,888,55,593,3,224,95,391,1,116,1,11,1,1,1,1,1,64,1,1,32,1,420,75,1,122,3,102,139,4,28,6,8,3,2,1,5,2,52,26
s19_CD,1,1,4704,1,1345,56,7,11,3,21087,44,8594,1,43,648,3,1,956,8,1,2,1,2,1,1,177,5,1,1,1,1,11667,2846,396,3,181,929,10,10,1,1,1,278,2,69,355,1,1
s20_CD,5,2,10485,1,17,52,37,3320,147,1,27,5893,1,2,8021,670,2,643,5,1,2,1,19,12,1,76,73,1,1,2,1,4361,1,4269,33,564,231,1,306,1,60,1,3,1,1,41,2,1
s21_CD,1,3,2667,1,506,2,687,371,1,1,1,17,1,2,5,7814,5,1382,2,1,1,1,2,1,1,1,5,1,1,103,1,4,2,4,1,217,4,52,65,1,1,1,1,31,1,1,2,1
s22_CD,1,1485,8386,9097,8,118,69,34714,64,91,3,119,84,80,8,6963,1006,26,7,2,3,18,7,23,11,1338,90,1,24,9,16,8,2,25,15,4270,10111,76,104,6,33,1,1,1,1,2109,22,5
s23_no,1,1545,202,596,14,23,14,20080,10,4158,558,4971,1,7,268,232,1,341,1,1,1,1,1,1,2,136,1,1,205,19,2,404,28,420,2,167,1198,18,25,1,1,1,127,12,13,6,1165,25
s24_no,1,5,293,1750,67,669,1,19367,12,128,12,2670,1,3,230,18,1,2,625,1,3,1,1,1,1,343,3,1,1,9,1,1223,1,1175,1,68,1550,31,1,1,11,1,14,1,89,49,6,2
s25_CD,1,2,265,2,1,4,1,15,1,4,2,16,1,2,6,4,2,1,1,1,1,9052,2,1,2,2,1753,1,1,1,1,2,1,4,3,208,6,2,66,1,1,1,22717,1,1,2,2,2
s26_CD,1,923,716,4,12,4453,3,3639,211,3568,1001,3880,1,1,3363,1607,1,283,3,2,4,1,6,1,19197,104,15,3,39,4,3,1118,8,3072,1,1275,505,1,13,1,1,1,5,1123,31,135,8,2
s27_no,1,194,50,33,4,14,1,9734,2,1581,21,561,1,3,70,986,1,24,1,1,1,1,1,1,1,186,1,1,1,1,1,398,12,306,1,37,324,1,13,1,16,4,13,1,2,2,355,42
s28_no,1,2,991,1,28,10,76,4463,6,5359,20,524,1,61,49,241,1,561,1,1,1,2,3,3,1,153,1,1,1,377,1,100,1,1912,4,459,304,1,10,1,130,13,70,1,1,128,1,1
s29_no,1,208,153,32,3,1,23,2890,3,543,6,911,1,40,57,4,1,9,28,1,1,1,3,4,1,7,1,1,1,1,1,224,1,444,24,322,129,1,28,1,1,1,12,1,1,14,1,61
s30_CD,1,36,74,298,1,10,6,4650,1,1308,13,550,1,1,259,48,1,24,92,2,3,13,3,1,1,67,1,1,74,4,6,2,23,224,1,37,607,3,3,2,1,1,9,4,9,6,354,37
s31_CD,1,2718,863,2969,121,20,103,13842,12,4225,212,2501,2,3818,297,521,1,116,1953,1,2,3,11,6,2,130,1,7,2,27,1,450,95,3157,37,773,2375,10,105,255,32,1,102,1,205,102,974,563
s32_CD,1,47,23,1,1,1,1,433,1,10,1,31,1,3,3,7,1,3,3,1,1,1,1,1,1,2,3,1,1,5,1,1,1,6,1,4,5,3,2,1,1,1,3,4,1,3,1,1
s33_CD,4,1836,598,6,1,358,20,8799,1,6055,315,2499,1,283,467,60,1,136,5,17,1,3,3,5,820,355,3,3,113,20,24,12,56,1236,1,502,4682,29,16,8,1,1,6,60,68,12,1197,549
s34_CD,3,933,2132,963,1,175,8,13278,77,526,314,3669,1,5,1858,2,1,425,7,3,1,1,1,1,2,971,2,85,130,4,2,4,432,165,4,561,689,1,61,1,2,1,7,5,104,175,1,1
s35_CD,1,349,180,1419,157,77,6,2406,1,1571,169,739,1,42,471,39,1,139,1418,1,237,1,1,3,1,421,2,1,1,253,5202,288,68,149,1,196,1600,18,104,19,3,3,183,1,16,5,1,1
s36_CD,1,1773,3035,3454,4,235,79,20448,7,5265,350,4028,100,6859,183,5377,1,163,2661,3,2,14,6,32,3,439,1,3,489,4,6,47,2,1020,37,237,1172,1,341,1423,112,22,135,112,11,23,2224,117
s37_CD,1,1,64,12,1,10,4,227,13,98,42,90,1,7823,44,16921,1,28,2,1,1,6,7,22,1,1,1,1,1,4,1,3,1,69,5,29,24,1,322,881,26,3,23,1,1,1,6,1
s38_CD,1,13,9,54,2,1,12,361,1,183,1,63,11,59,8,30152,1,1,2,1,1,4,4,8,3,1,1,1,2,1,4,19,1,17,31,15,45,1,77,2,5,1,1,1,1,1,4,2
s39_CD,1,1,6,1,1,1,5,1246,1,7,4,5,1,11215,1,63,1,1,13,1,1,6,37,13,1,1,1,1,1,1,2,1,1,3,7,2,4,9,168,927,3,4,4,1,1,2,1,1
s40_no,2,45,171,84,89,6,6,3659,2,160,238,769,9,2227,235,3018,32,96,1,1,7,1,1,2,1,15,1,1,5,19,2,182,285,226,1,204,17,2,22,1,75,1,2,1,1,21,61,29
s41_no,1,1,75,368,233,1,7,1172,1,254,7,139,1,1328,6,1063,8,9,1,1,1,1,1,1,1,1,1,1,1,34,1,19,1,2,1,26,49,145,17,25,1,1,5,1,1,1,1,1
s42_no,1,462,434,1353,12,28,105,5606,4,1588,11,788,3,1021,80,432,1,13,183,1,129,4,39,146,1,76,1,1,1,2,1,136,1,328,238,175,81,6,671,134,33,1,6,2,1,9,2,1
s43_CD,1,22,353,330,2,5,108,2596,1,150,8,51,1,263,1,4499,1,7,10,1,1,7,17,2,1,2,1,1,1,56,1,33,1,35,4,125,46,75,96,1,65,1,3,1,8,21,8,20
s44_CD,1,8,2,49,1,1,37,4966,1,10,1,6,1,949,1,19797,2,1,1,1,1,1,1,15,1,1,1,1,3,1,5,1,1,4,34,10,189,1,76,27,218,13,1,1,1,1,2,166
s45_no,1,1039,185,1855,236,358,25,4248,1,7289,415,1482,1,28,282,908,6,189,3754,12,26,2,2,12,1,292,1,7,109,19,11593,1492,441,990,3,30,1406,11,71,20,1,3,75,17,33,1,1137,215
s46_no,1,1,992,7,64,2,321,23,1,15,57,833,1,48,32,9801,1,442,14,1,156,1,5,2,1,3,29,1,1,79,1,1147,44,1581,1,896,286,240,23,1,201,1,1,1,3,196,2,1
s47_CD,1,47,14,5,9,1,96,14362,3,3442,4,164,1,2744,3,13434,1,2,217,1,1,1,5,5,2,25,1,1,1,4,2,2,1,5,34,24,148,1,68,34,34,1,2,1,1,1,1,42
s48_no,1,1049,291,913,10,128,1,14098,4,2528,619,2665,4,320,171,4408,1,42,2448,1,239,4,1,4,1,1494,1,1,3576,6,5,1090,12,1801,1,61,2530,19,28,3117,27,4,45,13,96,88,5745,2096
s49_CD,1,135,117,406,6,20,2,2358,1,2685,26,614,4,20,125,29,1,30,45,1,2,6,1,12,1,32,1,1,14,3,2,62,1,209,4,74,150,1,41,1,26,1,2,9,4,1,70,42
s50_CD,1,62,105,23,3,4,193,1606,1,352,9,148,1,159,4,3987,1,41,20,1,1,1,20,45,1,1,1,1,1,1,1,1,14,37,23,33,48,1,246,13,464,18,1,1,1,1,1,1
s51_no,1,409,1635,486,95,1,529,15748,3,3946,153,697,7,423,49,5301,1,1,1,1,280,1,1,7,1,2,1,1,5,20,1,407,171,888,1,501,347,2,36,24,166,8,134,1,1,13,6,96
s52_CD,1,3,299,717,3,15,66,7318,2,1129,2,1276,3,279,24,4592,1,32,5,1,1,4,6,22,1,75,1,1,1,1,4,93,1,377,7,18,325,1,51,18,15,1,35,1,1,1,7,1
s53_no,1,5,2133,2,312,2,200,24,1,5,2,10114,6,1858,67,4099,224,1450,1,1,752,1,14,9,1,500,1,1,3,55,4,28,1,7888,54,1419,981,1,232,72,473,5,1,1,1,1680,2,1
s54_CD,1,1394,446,4673,1,15,34,21818,1,1892,110,2178,1,49,65,143,1,194,1,1,1,1,2,1,1,1400,1,1,296,4,2,12,6,631,1,314,716,1,21,8,28,1,2,20,69,4,881,713
s55_CD,1,1,5,1,1,1,74,2431,1,109,4,6,10,3090,2,4133,1,7,5,1,1,12,2,1,1,1,1,1,1,1,1,1,1,3,8,1,18,1,73,48,87,3,1,1,1,6,1,42
s56_CD,1,787,583,4291,7,25,32,12873,1,3333,26,437,1,186,63,1933,1,126,43,1,1,29,2,3,1,241,1,1,1,2,1,1,4,148,4,131,327,2,7,49,67,1,1,14,2,1,1146,396
s57_no,1,2064,2851,2388,1,15,119,29656,8,10111,138,9476,24,519,330,170,129,1834,1,1,1,1,2,26,1,244,1,1,1,1,2,14,1,1309,52,393,785,1,103,1,831,1,103,434,40,160,88,5
s58_no,4,275,64,172,64,44,6,2552,1,714,23,345,5,2011,195,32,1,21,1,2,31,1,1,9,1,80,1,4,29,9,1,393,50,466,2,125,225,3,25,68,4,1,70,12,5,3,174,65
s59_no,1,482,634,634,46,97,31,8394,1,1555,28,1140,3,41,101,9077,1,34,3,1,24,1,2,11,3,17,1,1,27,28,1,42,1,543,5,331,359,1,50,11,74,1,8,1,13,21,111,1
s60_CD,1,409,233,1398,13,2,4,3076,1,46,4,117,1,5,84,8578,1,22,8,1,1,4,1,1,2,9,1,1,2,793,18,3,3,21,4,312,18,1,4,1,1,1,3,3,1,5,1,1
s61_CD,1,322,660,950,1,11,98,6114,3,2446,18,1165,1,2827,16,14,1,405,313,1,1,2,52,19,1,75,1,1,15,1,231,13,1,38,15,175,254,1,194,21,49,50,41,108,4,7,48,135
s62_CD,1,491,2278,9655,64,30,373,26346,14,17301,330,6295,28,3048,10,1069,1,266,2600,1,108,1,1,154,1,90,1,1,14,11,3,82,1,2509,20,1276,3885,1,54,12,11580,50,70,171,1,1,15,2434
s63_CD,1,2,13,3,1,2,27,1040,1,3,1,11,1,93,1,3618,16,22,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,4,1,22,1,28,44,151,4,1,1,1,1,1,1
s64_no,1,102,48,1167,161,9,10,808,1,230,1,122,1,2123,11,15,1,19,1,1,4,1,18,1,1,5,1,1,4,61,1,38,1,32,1,84,30,18,27,754,1,6,1,1,1,2,6,1
s65_CD,1,66,122,43,1,10,3,2039,1,403,24,877,1,21,23,4012,1,24,11,1,16,4,7,2,1,22,1,1,3,1,1,35,1,92,1,154,75,1,21,4,7,1,1,1,1,7,38,1
s66_CD,1,276,87,885,1,4,63,7805,1,244,1,497,3,1061,1,1,1,12,2,1,76,25,2,1,1,8,1,1,22,1,2,1,1,10,4,1,14,1,14,8,1862,1,11,1,1,1,16,59
s67_CD,12,4,1293,4,173,22,47,60,7,4,1,562,1,2100,346,5635,1,263,131,1,1,25,2,2,1,343,3,1,1,29,2,2,1,1,1,184,81,1,43,76,25,3,147,1,3,178,6,1
s68_no,1,1,998,11,2,2,7,18296,5,5958,113,1275,1,8,34,1481,2,85,59,1,1,1,4,1,1,17,1,1,1,1,2,53,1,239,5,501,254,2,9,1,78,26,122,64,1,4,1,1
s69_CD,1,320,108,323,6,45,77,2147,1,1,1,163,1,83,19,238,1,3,217,1,1,16,15,30,1140,27,12,1,38,8,1,1,1,14,54,4,59,1,212,1,3,1,1,1,1,29,115,1
s70_no,2,3005,1788,1241,48,164,24,20580,1,3206,295,2739,1,1071,582,5138,1,278,3,2,1,2,10,2,1,665,1,1,961,52,3324,1365,351,1337,7,1,1723,13,50,1,1,1,411,138,58,7,4119,389
s71_no,48,1065,610,498,89,107,61,13203,5,2464,89,1188,1,66,290,3059,1,173,1,1,210,1,9,6,1,330,1,1,52,35,1,273,25,890,22,273,466,1,74,1,23,6,58,93,24,16,382,72
s72_no,1,2825,657,1674,33,811,5,17169,15,240,1014,8175,3,50,709,63,1,71,4432,1,1,2,1,1,1,864,1,1,827,3,3,4148,34,1666,1,210,2516,12,15,2,26,1,2,2,157,379,6154,498
s73_CD,84,2,707,23,1943,37,1787,85,1,4865,2,20697,1,2,18305,1151,3,883,959,1,1,1,104,54,1,33,635,1,1,671,7,2853,1,161,364,12290,3537,2,8601,1,1699,1,4,2,1,11,1,1
s74_no,21,1576,456,700,118,355,7,7706,1,952,127,964,1,88,398,19,1,47,2,30,1,2,3,1,993,39,1,1,41,164,7,1078,52,606,1,14,498,6,16,1,8,1,89,56,9,37,611,192
s75_no,1,265,496,1387,1158,8,66,5208,1,5655,47,1896,1,1483,471,91,1,79,1,1,55,2,2,3,1,52,1,1,26,274,1,122,1,633,15,377,490,1,24,1,4,1,5,1,12,35,201,1
s76_no,1,341,120,5,1,13,10,5764,3,328,5,243,1,439,8,158,1,24,2,10,176,2,1,8,1,75,1,1,43,8,1,280,85,249,1,20,195,1,56,8,15,1,1,1,18,10,570,52
s77_CD,1,2,3,54,1,1,1,5,1,5,1,13,1,701,1,8840,60,1,1,1,1,1,1,10,1,1,10,1,1,1,1,2,1,2,40,1,5,1,27,10,1,61,2,1,1,1,4,1
s78_no,1,2487,841,3714,77,16,2,15286,3,1535,45,2007,1,13,361,984,1,195,1,1,1,1,7,5,1,34,1,1,1,226,524,50,1,421,4,1516,263,44,30,5,4,1,194,158,1,23,16,71
s79_no,1,410,1109,2,1,150,156,3910,11,1239,44,1359,1,138,110,49,1,25,2,2,1,3,2,1,1,71,1,1,1,1,1,1,1,70,13,1219,244,1,34,1,16,2,1,3,1,302,166,501
s80_CD,1,3428,711,240,18,11,5,13525,26,8097,15,1853,1,2099,243,10,1,555,4,1,1,6,1,4,1,115,1,1,2,4,1,1,1,848,2,1579,322,1,14,1,5,2,1,1,4,35,1,1
s81_no,1,372,117,625,4,6,12,5521,1,992,43,591,1,16,101,582,2,16,2,1,98,1,2,5,8,255,3,1,38,2,2887,548,1,81,6,22,100,3,14,1,2,1,15,4,12,6,200,16
s82_CD,2,3,1849,163,13,177,64,151,30,1450,603,2644,1,3,2730,29,17,818,302,1,5,1,27,1,1,12,1,17,1,9,2,192,1,568,14,83,808,152,2193,2,1,1,4315,2858,5,11,19,3
s83_CD,33,2742,397,2100,172,41,921,7117,28,12002,599,4645,3,1824,2016,90,2,238,107,1,595,7,10,48,1,1055,1,1,1,68,15275,1629,1326,1365,13,249,1346,23,3316,49,1,2,1327,1,82,96,1512,1
s84_CD,3,148,33,7,4,10,1,70,1,57,5,46,1,2,32,63,3,12,18,2,8,20363,171,155,1,6,1,1,1,2,14,13,5,31,145,4,41,5,1129,2,1,1,23,1,1,5,7,1
s85_CD,1,4,16452,2,6,1205,18,21646,596,27,2,13387,1,13,6684,1498,1,6,83,1,1,2,153,11,1,22,509,1,1,4,5,5,1,1898,19,1844,263,1,373,1,2,1,5432,1,1,6396,1,1
s86_CD,1,383,1218,1,30,1179,2,17689,1,155,2789,5093,1,3,7473,136,3,2020,1,1,310,3,99,20,1,713,3,1,1,2,2,19,42,2497,43,20,4813,1,1808,1,1,1,3956,2200,1,76,2,1
s87_CD,4,991,184,2,143,1002,26,8961,3,1333,64,868,1,2,315,18,1,60,1443,13,1,10,3,3,206,194,2,97,1,67,2,2,1,184,2,228,3587,8,31,1,2,1,2,1,1,153,846,1
s88_CD,8,8,910,3,70,1778,3,64,2,409,1011,2035,1,3,1532,6,1,659,12,5,4,11,16,8,19,239,1,76,1,113,40,206,46,1172,7,268,454,41,948,1,2,1,153,1464,10,10,11,3
s89_CD,106,3739,2521,669,369,2161,26,4920,7,12812,381,2877,1,107,3822,84,2,3095,4,1,8,11,9,36,1,507,1,28,1,80,16694,6,1836,1163,23,147,2570,1,305,1,1,1,772,349,62,57,2,149
s90_CD,228,1381,1689,258,1072,10723,1,14369,18,4137,2309,5677,1,10,3979,35,21,1711,6,5,1,3,26,1,1,1237,1,322,51,717,6,217,3,1672,1,154,5148,180,54,2,3,2,11639,1622,48,110,1119,1441
s91_no,7,411,701,646,2,2480,25,3057,73,6181,1349,8663,2,20,2559,5,2,445,3,186,166,3,22,2,1,272,1,46,21,2,2,402,603,4410,6,246,5001,737,1081,2,1,1,2715,587,34,11,287,134
s92_CD,1,2,781,1975,167,208,94,23486,33,12552,3721,5331,1,324,4747,11,4722,583,5,3,1024,1,5,6,1,673,1,100,100,29,7,8111,1630,2939,25,742,4370,2,1255,3,3,1,9,128,59,15,1912,1
s93_CD,1,11,5032,3,112,1834,1,63,363,46,3721,2157,1,2,1365,702,4,865,4,1,10,5,81,53,1,59,6,386,1,35,2,24,1,1016,28,1633,6479,17,5018,2,1,1,3112,1818,30,358,18,1
s94_CD,14,1,661,1,14,1,1,49,3,1961,106,797,1,1,1116,1,1,247,1,1,1,1,3,5,1,3,1,1,1,5,52,43,1,225,8,1612,336,1,47,1,1,1,1761,505,2,3,1,6
s95_CD,1,309,30,856,1,7,130,4039,3,479,40,181,1,567,2,444,2,31,477,1,1,4,1,20,1,251,1,1,199,1,1,1,1,96,1,1,115,4,11,24,463,1,1,7,1,2,47,1
s96_CD,1,35,72,37,15,2,37,1125,1,318,4,167,4,610,5,2894,2,20,3,1,2,2,1,4,1,2,1,1,1,18,1,3,1,12,1,71,44,4,22,979,40,4,13,2,2,1,3,14
s97_CD,4,16,114,157,62,7,39,412,1,255,1,160,5,263,47,4460,1,42,6,1,3,1,14,72,15,39,1,1,4,20,1,1,2,54,38,73,127,1,242,10,7,1,11,7,1,23,4,7
s98_CD,1,44,3398,102,1,41,7,3102,1,2,69,667,13,239,32,11,1,672,1,1,16,1,2,43,1,1,93,1,1,1,2,2,1,65,7,1178,3,1,131,25,14,1,143,1,1,5,1,1
s99_CD,1,1,784,1,6,40,4,3,2,493,10,439,1,77,17,2134,1,4,2,1,1,1,2,2,1,2,1,1,1,12,1,12,36,10,1,346,526,1,4,1,1,1,1,2,2,35,2,1
s100_CD,67,1,458,14,2,22,119,85,1,877,101,1196,5,607,74,659,1,41,1,2,1,1,13,25,1,7,1,1,1,2,1,64,5,35,13,1,312,2,221,36,21,2,149,100,1,8,6,1
s101_CD,6,1497,582,775,136,5,7,10918,28,5236,11,2191,1,255,50,58,1,2,4,3,1,2,8,6,1,520,3,3,1,66,1,2,2,85,6,80,4443,2,131,1,1,1,8,2,1,24,158,1
s102_CD,206,388,1252,3,418,76,323,6897,239,7544,1000,3480,1,805,8972,236,1,1002,2639,1,1,1,18,5,1,238,4,1,1,40,1,1902,19,714,20,273,2921,3,457,1,1,1,3905,1,16,1193,638,1
s103_CD,1,1,892,295,2,2483,6,10155,32,6302,1230,3255,1,3,333,3,1,56,1,1,1,1,1,1,1,656,1,1,1,2,1,304,359,4945,4,23,1801,158,84,1,1,1,3,1,37,36,5318,1
s104_CD,1,1,1640,1,12,41,50,2058,1,2,1,1171,3,26,170,1732,1,51,303,1,1,31,2,25,1,21,1,1,1,5,1,1,1,15,1,360,177,1,9,1,17,1,1,1,1,16,1,1
s105_CD,77,808,4151,97,661,1159,1,5950,446,665,579,1255,1,2,4009,265,4,1857,3,1,195,1,7,5,1,2528,3312,40,1,44,1,2,1,949,8,284,1520,1,283,1,1,1,4,1601,62,396,1,1
s106_CD,14,206,456,1,94,1111,2,3227,22,2818,67,1411,1,2,1245,2,1,76,1853,1,1,1,1,1,1,152,2,152,6,4,1,299,37,1151,3,84,487,22,110,1,1,1,2673,2,3,48,1,114
s107_CD,27,479,1398,60,42,776,1,12891,49,1491,1523,2402,1,7,1511,25,1,426,1,35,1,1,11,2,3,1193,1,573,108,422,1,79,1,1356,2,439,3948,414,399,1,1,3,4,1121,69,126,60,167
s108_CD,1,162,1261,1,157,1195,117,1148,200,5,1306,1415,1,1,5456,8,1,1245,78,1,2,1,70,43,1,511,1,1,13,15,1,629,2,3048,50,77,2775,9,5469,1,2,1,3,296,1,132,27,1
s109_CD,12,1,6113,2,790,93,333,4224,1,1,4,1842,1,21,3,7756,5,837,1,1,1,3,27,9,1,216,132,1,1,494,1,1,1,1813,4,2601,451,79,179,108,4,56,695,1,1,2715,1,1
s110_CD,2,251,495,325,10,753,3,3650,18,4215,934,3339,1,5,5167,1,1,1,3,18,97,2,11,3,1,1280,1,172,33,1,3260,4,2,2157,8,2215,3016,452,551,1,1,1,97,3,113,69,965,57
s111_CD,276,3,426,455,1972,1768,48,9175,15,3869,2885,5313,1,36,1555,14,1,556,1537,212,1,1,5,1,1,934,3,212,134,347,2,263,97,1881,1,65,4396,1179,114,2,2,1,4679,223,24,149,2888,1
s112_CD,9,1111,1106,891,317,122,2,7426,2,7611,907,6768,1,181,5591,5,2,326,3,65,744,1,3,3,1,63,1,1,49,104,1,1748,421,1537,5,144,1482,31,16,1,1,1,617,3,4,1,469,29
s113_CD,3,79,1097,406,280,292,22,1003,4,6223,947,3099,1,65,4838,3,1,1312,4445,11,1,1,5,3,1,1059,1,219,1,22,1,255,623,1505,3,2619,6308,337,545,1,1,1,1534,1833,111,110,118,138
s114_CD,2,71,5440,1,103,30,3,79,122,1,1,1262,1,1,1296,475,6,2086,1,1,1412,1,17,7,1,1,43,1,1,2,1,1,2,15,13,598,5,1,131,1,1,1,2,2,1,129,2,2
s115_CD,127,4,1607,34,190,2353,22,12089,149,6845,169,4523,1,65,8076,4,1,1376,4047,63,2,1,32,9,3,875,1,1076,1,75,2,3584,100,2353,26,1020,2333,62,5110,1,1,1,228,339,221,391,6,1
s116_CD,111,2,3901,2,1601,1318,3,29,532,6,317,3119,1,2,3862,420,2,601,1255,2,1,2,13,3,2,3142,1,627,1,983,2,13,1686,1010,1,600,2809,2,1087,1,1,1,6208,5,295,872,3,1
s117_CD,2,499,140,268,547,1491,30,9862,33,6199,426,3302,1,1147,2771,20,1,73,2,473,1,1,6,3,1,612,1,37,106,373,1,347,69,5362,1,1522,4331,205,67,488,1,1,1776,2158,40,31,1498,46
s118_CD,1,152,44,680,1,9,54,2508,1,591,11,121,1,287,1,296,2,22,203,1,1,1,1,12,1,180,2,1,128,2,3,1,1,55,4,2,125,2,12,9,82,1,1,7,1,2,52,1
s119_CD,2,5,133,1323,1,2,334,16073,1,1713,1,356,1,2700,21,6799,21,4,15,1,1,27,1,7,1,10,6,1,1,36,25,5,4,284,2,113,205,1,23,11,215,9,6,1,1,5,3,10
