day_of_life,g__Actinomyces_0,g__Bifidobacterium_1,g__Eggerthella_2,g__Bacteroides_3,g__Parabacteroides_4,f__Rikenellaceae_5,g__Staphylococcus_6,g__Enterococcus_7,g__Lactobacillus_8,g__Streptococcus_9,o__Clostridiales_10,o__Clostridiales_11,f__Clostridiaceae_12,f__Clostridiaceae_13,g__Clostridium_14,f__Lachnospiraceae_15,f__Lachnospiraceae_16,g__Blautia_17,g__Coprococcus_18,g__Dorea_19,g__Lachnospira_20,g__Roseburia_21,g__[Ruminococcus]_22,f__Peptostreptococcaceae_23,f__Ruminococcaceae_24,f__Ruminococcaceae_25,g__Faecalibacterium_26,g__Oscillospira_27,g__Ruminococcus_28,g__Veillonella_29,f__Erysipelotrichaceae_30,g__[Eubacterium]_31,f__Enterobacteriaceae_32,f__Enterobacteriaceae_33,g__Haemophilus_34,g__Pseudomonas_35,g__Akkermansia_36
0,3,32,0,372,36,86,41,10,24,25,58,112,0,41,0,0,97,47,17,0,0,17,47,0,16,312,29,11,30,0,29,0,0,12488,3,211,115
0,0,12,0,231,10,26,0,0,0,0,77,55,0,0,0,26,27,34,15,0,0,0,85,0,0,75,87,43,33,0,0,0,6,12437,0,47,0
1,3,422,7,0,0,0,0,0,0,22,136,0,54,13,82,7,2186,927,200,612,18,1376,1048,120,0,0,4396,563,0,0,1050,89,110,9,114,0,0
1,856,1320,13,574,215,306,0,216,17,93,69,0,2902,127,1152,0,145,464,0,34,0,7,1107,110,2797,11,13,30,14,817,61,173,2173,632,16,0,4
1,0,17,0,429,2,92,4,0,0,0,25,5,0,98,0,35,73,50,2,0,0,0,106,0,7,83,51,13,38,0,57,0,0,8982,0,28,4
1,0,0,0,406,102,72,74,0,39,33,102,129,0,0,0,0,73,5,53,0,0,0,46,52,19,120,115,30,0,0,20,28,40,12874,0,35,0
1,0,1265,0,1402,627,0,0,0,29,9,0,0,0,0,8,5,0,5,0,0,12,0,767,0,0,27,0,4,9,21,0,0,220,83,0,835,84
1,0,103,0,761,41,111,135,33,167,54,124,181,46,62,22,16,285,77,22,20,0,17,71,0,80,159,163,115,75,0,38,0,13,17574,0,99,293
1,0,0,0,45,0,5,987,3161,16,0,0,7,0,0,15,0,14,0,0,0,13,0,0,5,0,0,11,0,0,4,0,0,17467,27,2,0,92
1,0,16,0,527,108,127,186,0,39,547,109,100,0,74,0,12,86,172,30,0,0,0,263,0,47,179,114,0,34,0,0,0,0,25063,53,0,0
1,0,147,0,571,68,136,85,20,137,128,201,463,0,77,64,0,182,63,89,0,5,0,50,0,99,131,156,0,137,0,0,0,21,17089,0,362,41
1,0,8,0,404,42,120,27,12,22,42,18,165,0,24,0,0,81,6,30,0,0,0,80,32,76,41,27,15,10,0,28,22,0,10827,41,212,70
1,0,248,0,360,111,9,157,39,173,102,105,244,0,45,0,39,121,152,21,0,0,42,193,0,67,83,126,43,104,2,0,0,26,14091,0,210,326
1,0,30,0,301,37,41,19,47,100,31,100,55,0,31,5,29,67,117,17,0,0,24,0,0,30,42,21,22,24,0,34,0,131,12002,0,89,69
1,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19805,0,0,0
1,0,26,0,248,9,0,58,0,38,133,68,80,7,11,6,22,33,40,26,0,0,0,25,0,35,98,57,63,0,0,0,0,62,10267,0,23,0
1,0,10890,21,0,0,0,0,0,168,129,1117,0,114,170,1482,80,1829,111,46,0,2313,0,799,609,0,0,0,0,0,4365,291,92,208,319,0,0,0
1,0,57,7,234,0,21,16,5,0,33,12,0,10,7,2284,130,1337,17,27,5,2,27,1959,269,3,54,72,4,15,7,0,185,64,1219,0,10,12
1,0,66,0,545,22,47,93,77,399,95,163,140,3,139,0,6,227,40,47,4,9,7,174,200,91,83,130,106,39,10,19,0,56,9538,0,100,975
1,49,34,0,4,0,0,0,0,0,3535,0,0,0,9,0,0,0,0,0,0,0,0,10,3913,0,0,0,0,0,14601,0,0,0,25,0,0,0
1,0,0,0,6,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17838,0,0,0
1,0,80,0,740,47,44,59,0,515,0,366,397,0,424,0,116,155,40,14,0,0,42,29,109,121,45,0,134,0,14,33,0,16,5455,0,41,0
1,0,39,0,0,0,0,197,1195,0,0,0,0,0,0,17,0,0,20,0,5,0,0,9,0,0,0,3,4,0,7,0,0,11783,0,0,0,0
1,0,30,0,31,0,0,9,0,8,19,12,0,0,0,23,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,255,672,24,1048,0
2,23,5100,0,3604,0,0,0,647,5155,638,0,0,0,0,257,0,0,1069,0,0,0,0,1767,0,0,0,0,11,0,521,0,0,10,1211,794,41,0
2,32,2258,0,604,50,27,3147,0,59,332,3,0,61,80,125,0,86,78,31,24,6,114,375,14,6,71,125,41,0,228,703,10,154,182,0,0,19
2,0,0,0,5079,0,5,6,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,22,0,0,2752,0,1462,10423,0,0,2
2,0,5,0,2176,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,5,971,0,472,3104,0,0,0
2,0,3,0,8,0,0,4599,0,0,332,0,2,1510,8154,0,0,23823,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,129,0,0
2,20,15,0,27,0,4,0,6,0,21,0,0,53,7,67,0,0,42,0,0,0,0,0,4,28,0,0,0,0,8,0,43,40,27996,0,0,0
2,19,6149,0,10,0,155,0,73,270,14,0,0,16,0,2474,0,61,0,440,0,0,4564,5525,84,0,0,0,0,5,365,2,0,228,2228,231,0,0
2,0,20,0,282,43,0,49,0,90,23,21,135,0,5,0,19,87,15,3,0,0,25,33,32,105,82,36,98,56,0,0,0,49,10742,0,129,1234
2,0,29,0,5326,0,0,0,35,0,0,0,0,9,0,0,0,6,0,0,0,0,0,5,0,0,0,0,3,0,0,2605,0,1350,10978,0,0,0
2,0,5,0,11,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,14297,0,0,0
2,0,1687,0,117,0,21,54,0,0,52,0,0,0,0,0,0,56,46,0,0,0,0,110,0,0,0,0,0,0,0,26,0,118,101,0,199,27
4,0,0,0,12729,0,0,27,69,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,20792,3,0,492,352,0,92,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,16035,0,0,42,70,0,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,0,0,0,0,0,0,19,796,0,3,0,0,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10629,0,0,0
8,0,0,0,11908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9674,23,0,6,0
9,0,14,0,3545,2,0,0,0,0,8,0,0,0,0,12351,0,0,0,0,0,0,0,10,0,0,0,3,0,0,16,0,0,13,12051,41,0,0
11,0,11,0,5,0,0,109,444,0,233,0,0,0,0,178,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15041,9309,3,0,0
13,0,15,0,9,0,0,240,655,0,513,0,0,0,0,151,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16842,5816,0,0,0
15,0,0,0,3,0,0,617,229,0,204,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,4022,0,0,0
29,0,2725,0,0,0,0,387,0,31,447,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829,380,5,0,0
29,0,7,0,8,2,0,0,128,8,4847,0,0,0,496,944,0,0,0,0,0,0,0,6,444,0,0,0,0,0,4572,0,0,10062,0,0,0,0
30,0,9441,16,0,0,0,0,0,0,84,190,0,31,120,1080,147,1853,46,21,0,0,0,195,209,0,0,0,0,0,4432,341,37,903,158,3,0,0
30,0,6,0,32,0,0,32,5,0,72,0,0,5043,734,4938,0,651,8,3,0,0,0,0,55,0,0,11,0,22,5,0,10,7460,14,4,2,0
30,0,5,0,23,3,4,171,17,0,198,0,0,8585,571,5484,0,803,0,6,0,0,0,7,432,0,0,0,0,20,10,0,0,2580,22,15,0,0
30,3,16512,0,1817,2,15,26,0,0,804,0,0,11,0,36,0,42,8,0,0,14,0,33,2,4,0,47,8,0,36,44,0,46,2418,12,0,3
30,0,5,0,3,0,0,18,0,147,435,0,0,770,266,2430,0,0,0,0,0,0,0,0,505,0,0,0,0,0,95,0,0,1862,0,11,0,0
30,0,1527,0,15,0,0,0,2262,221,900,0,0,0,213,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,0,0,14056,19,0,0,0
30,0,8669,0,29,0,0,0,2971,426,1495,0,0,0,462,1035,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1383,0,0,7445,0,0,0,0
31,1220,14,0,0,0,0,21,1212,143,461,0,0,0,0,329,0,0,3330,0,0,0,0,2,0,0,0,0,0,0,0,3269,0,4818,4,13,16,0
31,0,1564,0,23340,0,149,82,0,0,115,0,0,0,0,0,0,0,0,0,0,12,0,11,178,0,0,0,0,196,0,4,0,2218,16826,17,0,0
31,0,0,19,23,0,0,0,14,0,83,1743,0,4777,1671,1926,0,943,1243,0,0,0,0,5067,850,0,0,2,0,0,38,0,0,6322,0,2,0,4
31,0,0,6,0,0,0,13,59,0,86,476,0,2731,1288,2009,0,1352,846,0,0,0,0,2135,1206,0,0,0,0,0,74,0,0,7713,0,12,0,0
31,0,3,17,0,0,0,7,0,0,55,1101,0,3840,1159,1382,0,362,941,0,0,0,0,5098,522,0,0,0,0,0,0,0,0,3649,6,0,0,0
31,0,8,0,5,0,0,0,618,0,149,0,0,0,0,11,0,7,3491,0,12,0,0,0,0,0,0,0,0,0,1373,0,0,1304,14775,0,50,0
31,0,6,0,10,0,0,9,95,0,782,0,0,0,409,5186,0,0,0,0,0,0,0,0,289,0,0,0,0,0,2225,0,0,0,7002,62,0,0
31,0,8239,0,0,0,0,18,319,0,31,0,0,0,19,430,0,0,0,0,0,0,0,0,287,0,0,0,0,0,8,0,0,88,1392,2,0,0
31,0,30,0,115,19,11,257,62,1228,2731,0,19,0,0,53,0,0,10,5,0,8,22,10274,0,0,7,23,13,7,786,0,0,0,0,4,0,5
31,3,5,0,8918,0,0,0,9,14,125,0,0,0,0,9043,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,3155,0,0,0
31,3,11431,0,41,20,0,0,390,0,89,0,0,12,1193,896,0,2054,0,0,0,0,0,0,0,0,0,2,0,0,579,0,0,3841,6038,595,0,0
31,0,5,0,0,0,0,0,20,0,25,0,0,0,0,161,0,0,0,0,0,0,0,3625,3,0,0,0,0,0,1092,2967,0,2702,623,0,0,0
31,0,11865,0,107,5,0,67,68,0,4481,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,21,3,0,204,2118,0,0,0
31,14,1523,0,5,4,3,0,65,0,1086,0,0,16,6,1747,0,2434,0,0,5369,0,0,656,269,0,0,0,7,0,1800,1398,46,5,7,0,2,0
31,0,0,6,184,0,4,21,57,0,171,456,0,2217,1240,1646,0,2002,935,0,16,0,0,1918,1867,0,0,0,0,0,43,5,0,4771,5,3,0,0
32,0,4,0,20154,0,0,0,54,0,50,0,0,426,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,398,22,0,66,2313,0,0,0
32,0,2,0,21,0,0,3,0,0,440,0,0,0,0,7571,0,0,0,0,0,5,0,0,58,0,0,10,0,0,8,0,0,0,13561,37,0,0
32,2,8128,0,7061,1275,0,7,9,0,32,2,0,0,0,12,0,0,0,0,0,0,0,3537,0,0,0,0,0,0,0,0,0,13,0,140,0,0
32,0,0,0,7,0,0,40,0,0,2299,0,0,0,0,7377,0,0,0,0,13,0,0,12,22,0,0,0,0,0,16,3,0,0,22672,157,0,0
32,0,4,0,11,0,0,0,0,0,0,0,0,9866,0,1057,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7006,0,0,0,0
32,0,7,0,10,0,0,88,13,0,9,0,0,3861,0,1186,0,36,0,0,0,15,0,0,0,0,4,2,0,0,3,0,0,13409,0,32,0,0
32,52,6,0,13201,0,0,123,536,0,240,0,0,0,0,15265,0,0,0,3,0,0,0,17,0,0,0,5,0,5,444,0,0,741,0,123,0,0
32,13,5,0,16602,0,0,28,159,0,109,0,0,0,0,17161,0,0,0,0,0,0,0,19,0,0,0,9,0,0,191,0,0,444,0,96,0,0
32,0,5,0,8,44,0,700,0,0,1060,0,0,0,0,0,0,0,0,3,0,0,0,7,6,0,0,0,0,0,218,6012,0,11638,9,0,0,0
32,0,14757,0,10802,846,0,42,0,0,107,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,0,0,21,69,0,0,19,8406,281,0,0
32,11,7,0,6,0,1352,6,121,0,22,66,0,1689,160,866,0,0,0,0,89,0,0,0,0,0,0,0,0,0,2,0,0,3142,0,28,3,0
32,51,15,0,10,0,2600,12,105,0,23,59,0,21,541,9387,0,0,0,0,116,0,0,5,0,0,0,0,0,0,0,0,0,5713,0,158,0,0
33,0,9072,15,1665,2,25,0,23,648,61,164,0,5,0,0,0,104,44,0,278,0,0,970,0,0,1066,0,124,0,45,6,21,2675,7,24,0,0
33,0,48,0,184,0,0,13,0,0,161,0,0,10,0,10,0,0,0,0,0,0,0,3114,0,0,0,0,0,0,7,20921,0,3279,5249,11,0,2
33,0,2273,0,985,499,59,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,131,0,0,0
33,0,5141,0,5260,651,0,8,0,0,43,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,2,0,0,15,430,0,2783,32,0,0,0
33,0,2880,4,11941,777,2,0,8,0,87,0,5,0,181,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,1316,0,0,69,2210,0,0,0
33,3,11,30,5,0,0,34,79,0,690,0,0,2515,654,4249,0,0,4272,0,0,0,0,0,780,0,0,0,0,0,127,0,2119,7579,29,0,0,0
34,9632,13,0,12,0,0,28,2140,158,87,1233,0,4720,329,0,0,0,4,0,0,0,0,8,0,6142,0,3,0,0,3659,0,0,1445,0,0,0,0
34,0,13330,2,8,0,0,109,105,1316,147,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1014,3,0,1820,0,270,0,0
35,0,5496,0,0,0,0,0,47,18,432,0,0,5,37,2877,0,0,0,0,0,0,0,4,233,0,0,0,0,0,5,78,0,10,4029,142,0,0
35,0,6533,12,9218,0,0,0,8,0,6,0,0,19,0,0,0,0,0,0,0,0,0,1291,107,0,0,3,0,27,229,2007,0,1121,136,0,0,0
36,0,22,0,9,0,784,49,547,157,54,0,0,22075,56,22,0,0,0,0,0,0,0,19,5,0,0,0,603,0,79,0,0,5827,1873,100,0,0
36,0,1263,0,2817,2733,216,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,18,0,0,0,265,592,0,694,43,5,0,598
37,599,2,0,0,0,0,0,38,0,658,0,0,0,437,1027,15,0,4,0,0,0,4457,0,187,0,0,5,0,11,5168,5720,0,3910,8,9,0,0
39,0,11889,0,8130,2,2,0,0,0,330,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,4,0,15,14350,3,0,0
40,0,10887,0,191,17,18,146,6,72,814,8,0,0,0,0,0,46,10,0,0,8,139,22,0,0,29,50,6,0,4,6,0,9753,582,43,29,0
41,0,11,0,0,0,0,0,352,0,425,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5941,0,0,14511,0,48,0,0
41,0,9471,0,16,0,0,0,26,12,130,5,0,0,1959,827,0,0,0,0,0,0,0,0,249,0,171,11,0,0,984,0,180,3805,0,0,4,0
41,0,3829,0,682,0,0,0,149,18,360,36,0,13,1617,1702,0,26,15,0,12,9,0,29,1109,0,138,4,0,0,666,4,963,2542,0,0,0,0
41,9,2169,0,5664,450,0,17,0,0,56,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,41,195,0,1057,0,0,0,0
42,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1048,5,15,0,2,0,0,32,0,0,9,0,1423,0,113,0,0,0,0,0,0,0,4,0,0,0,0,0,0,388,0,0,3318,13,0,0,0
42,0,15,0,0,0,0,11,3235,0,1377,0,0,0,13629,369,0,0,0,0,0,7,0,9,335,0,0,45,0,0,2679,0,0,0,7196,131,0,0
43,0,6580,0,7502,2812,489,0,97,0,0,4,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,1922,0,0,0
43,7,8759,0,8544,0,0,8,0,0,591,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,20,2,0,15,8069,8,0,0
43,0,248,6,9,3,0,0,0,0,2249,161,0,724,326,1105,1124,911,0,0,0,0,0,0,449,59,1534,7164,1048,0,0,0,0,6955,337,0,0,0
44,7,262,0,8450,7,0,13,0,803,256,0,0,40,5,801,0,0,0,0,31,0,0,147,10,0,0,0,4,4,214,122,0,80,9213,8,0,0
45,7808,17,0,23,5,0,0,624,1782,27,451,0,6122,226,52,0,0,0,0,0,0,0,17,0,10474,0,0,0,0,3589,0,0,1586,0,0,0,0
45,0,493,0,11264,0,0,16,0,0,40,0,0,221,0,2444,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,6,0,2126,270,0,0,0
45,0,4519,0,0,619,0,12,31,0,115,0,0,0,0,4,0,15,9,0,0,0,0,0,4,0,0,15,0,0,35,46,0,5806,0,3,0,0
45,0,4,0,19,0,0,13,0,0,135,0,0,5,302,16673,0,412,4,7,10,0,0,0,72,0,0,2,0,29,51,6,34,3110,43,26,0,0
45,0,0,3,0,0,6,142,11,0,279,0,0,14,307,10367,0,818,0,13,0,0,0,0,752,0,2,0,0,29,169,0,48,1921,53,21,0,0
49,0,0,0,0,0,0,10,405,12,226,0,0,0,3788,1527,0,0,0,0,0,0,0,0,52,0,0,0,0,0,2031,0,0,0,5130,243,10,0
49,5,122,0,5,0,0,72,6,407,1286,8,0,10026,993,800,29,0,0,0,0,4,0,11,985,11,0,88,77,0,47,6,0,8404,0,218,0,0
52,144,3946,31,7,11054,0,10,0,0,473,7,0,1509,2434,3118,0,1349,0,0,89,0,0,7,0,0,0,0,0,0,1139,0,0,700,1687,569,0,0
53,0,14,0,9,0,0,0,334,0,2025,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,18883,0,0,0,0
54,198,6,0,5,0,8313,13,278,0,181,154,0,1246,1611,145,0,0,0,0,150,0,0,4,0,0,0,0,0,0,4,0,0,8939,0,714,0,0
54,6,11,2,87,6,0,58,469,293,223,0,2,0,0,10,0,0,4112,7,0,11,0,25,0,0,5,14,0,0,16,29889,2,55910,59,218,0,0
55,0,4,0,10423,0,0,6,0,380,232,0,0,0,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,7267,0,0,0
57,0,11,0,12,0,0,21,1862,0,8746,0,0,15,0,4569,0,0,0,0,0,0,0,6,802,0,0,0,0,0,66,3,0,18,17809,391,0,0
59,13,2136,8,11,14317,0,25,45,0,310,0,0,515,3515,2224,0,1406,0,0,949,0,0,0,8,0,0,0,0,0,500,0,0,1905,1114,305,0,0
60,56,6069,11,7777,0,0,0,0,384,740,0,0,0,18,43,0,835,426,0,0,0,0,769,11,0,0,0,47,0,2767,174,0,30,1022,8,0,0
60,23,0,0,11390,0,0,22,1287,0,196,0,3,6847,0,225,0,0,0,0,0,0,0,0,23,0,0,0,0,0,639,0,0,6121,0,174,0,0
60,11,4730,3,2459,0,0,0,0,23,32,25,0,61,33,211,0,42,0,0,9,0,0,193,0,0,12,731,0,0,785,94,3,579,53,0,11,144
60,303,36,0,161,5,0,257,25,0,283,0,0,25,272,3887,0,0,0,0,0,3,0,31,0,0,0,0,0,0,3097,7,0,7818,11,3214,0,0
61,0,3991,0,6201,1638,407,0,20,0,11,0,0,0,0,105,0,446,11,0,0,0,0,216,146,0,246,0,4,0,38,218,0,92,48,0,0,2710
61,0,7,0,4,0,0,0,1003,0,1913,0,0,0,8432,1692,0,0,0,0,0,0,0,5,162,0,0,0,0,0,929,0,0,0,5558,153,0,0
61,0,10133,3,7,0,0,516,0,289,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640,9,286,0,0
61,0,19521,0,8588,2584,5,0,62,142,0,0,0,0,0,10,0,629,0,0,0,0,0,0,0,0,0,0,0,12,6,2,0,7,1613,0,0,0
61,0,3726,4,4858,0,0,0,7,2,4,25,0,0,0,5,22,0,66,12,134,0,0,902,20,0,0,0,212,85,385,276,6,61,411,0,0,0
61,0,1921,3,5597,521,0,0,12,0,75,59,7,0,84,0,0,0,0,0,297,0,0,0,7,0,376,0,0,0,87,0,0,44,671,0,0,409
61,0,17,0,7589,7328,0,16,0,0,569,0,0,0,0,11,0,0,6,0,15,0,0,0,0,0,0,0,0,0,5,0,0,13763,4395,0,0,0
61,0,8766,13,4650,2925,157,0,55,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,11,0,773,0,0,0
61,0,1597,0,6831,0,4,111,12,0,98,0,0,0,0,70,0,0,0,0,0,13,0,511,10,0,0,6,3,8,0,548,0,7,7340,206,0,0
62,0,5,0,18,0,0,0,0,0,1564,0,0,0,0,3202,0,0,0,0,0,0,0,0,430,0,0,6,0,0,78,0,0,37,16606,57,0,0
62,0,0,0,18,0,0,0,0,0,4374,0,0,0,0,2698,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,140,0,0,0,13326,431,0,0
62,0,4,2,10,0,0,0,16,0,48,7,0,60,111,11145,0,1477,0,9,0,0,0,0,82,0,0,0,0,156,267,0,106,5647,701,22,0,0
